title,text,subject,date
Presiden Prabowo Promosikan Program Motor Murah,"Konten yang beredar adalah hasil rekayasa AI, probabilitas atau kemungkinannya mencapai 99,8 persen.",News,17-Oct-25
Luhut Terjerat Pencucian Uang Pengadaan Laptop,Tidak ditemukan informasi kredibel yang membenarkan klaim.,News,17-Oct-25
DPR RI Larang Menkeu Purbaya Ikut Campur Masalah BUMN,Tidak ditemukan informasi kredibel yang membenarkan klaim.,News,17-Oct-25
Rakyat Amerika Serang Rumah Donald Trump,Tidak ada informasi kredibel yang membenarkan klaim. Video dalam klaim merupakan video aksi demonstrasi pada Rabu (06/01/2021) yang dilakukan pendukung setia Presiden Amerika Serikat Donald Trump di Capitol Amerika Serikat.,News,17-Oct-25
Puan Maharani Tidak Suka Indonesia Disebut Negara Konoha,"Faktanya, tidak ditemukan informasi atau pemberitaan kredibel yang membenarkan klaim.",News,16-Oct-25
Harimau Jawa Belum Punah,"IUCN menyatakan, Harimau Jawa (Panthera tigris sondaica) telah dinyatakan punah sejak 1980-an berdasarkan asesmen IUCN pada 2008. Selain itu, video yang beredar merupakan hasil editan dari dua video berbeda.",News,16-Oct-25
Seorang Kakek Kabur Setelah Tipu Mahar Senilai 3 Miliar,Informasi bahwa mempelai pria bernama T kabur tidak benar. Diketahui bahwa keduanya sedang berbulan madu di Purwantoro.,News,16-Oct-25
Pesan Berantai Sakit Difteri karena Kencing Tikus di Jajanan dengan Cabe Bubuk,"HDU/HLBK (Hoaks Daur Ulang/Hoaks Lama Bersemi Kembali), sudah pernah beredar dan diklarifikasi sejak 2017. Faktanya, difteri disebabkan oleh Corynebacterium diphtheriae dan tidak ada hubungannya dengan tikus.",News,16-Oct-25
Video Kim Jong-un Prihatin atas Praktik Korupsi di Indonesia,"Konteks asli video adalah momen pidato Kim Jong-un saat hari berdirinya tentara Korea Utara, sama sekali tidak membahas korupsi di Indonesia.",News,16-Oct-25
Presiden Prabowo Tarik Uang Luar Negeri Rp7.000 Triliun,"Tidak ditemukan informasi kredibel yang membenarkan klaim. Faktanya, Prabowo hanya merencanakan penarikan utang baru senilai Rp781,87 triliun pada 2026.",News,16-Oct-25
Video Tanggapan Bahlil Terkait Pencopotan Dirinya,Konteks asli video adalah momen Bahlil Lahadalia (sebagai Ketua Umum Partai Golkar) saat menanggapi pencopotan Golkar Dito Ariotedjo (mantan menteri pemuda dan olahraga yang juga merupakan kader Golkar).,News,16-Oct-25
OJK Hapus Data dan Tagihan Pinjol,OJK menegaskan tidak pernah mengeluarkan pernyataan tentang pemutihan data dan tagihan pinjol.,News,16-Oct-25
